"by product group",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2025.11,2025.12,2026.01,2026.02,2026.03 p),2026.04 p)
"by product group",Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales
"Semi-durable goods",8373013,6742597,6891577,7917068,9701093,8698749,8056514,7270022,8099546,10021030,9907725,8686317,7425008,7419142,9384619,9721043,10152041,9134443,8785770,8053808,9551201,11437509,11282572,10598642,8788684,7960278,9893265,10635854,11139834,9929434,9687490,8796629,9961197,11528547,10841626,11310302,9060013,9126285,10994545,11221820,11726805,10303002,9940967,8890437,9884490,12197737,12019948,11540341,9212808,9118613,11019056,11042387,11221794,10520171,9654731,8863606,9860199,11848362,12238900,11624607,9285954,8715789,10758810,10472990,10915785,10160584,9821241,9136894,9979223,12157354,12170416,11820672,10142819,9315862,11230478,11194236
"Clothing",4502098,3363269,3337654,4055139,5147088,4487187,3893519,3350628,3976783,5632068,5604881,4447858,3788021,3807877,5053287,5240874,5480738,4728622,4383405,3874985,5039176,6471856,6453215,5861492,4723954,4057928,5170334,5788683,6047268,5200913,4923301,4218576,5213792,6525591,6047931,6317784,4918289,4939274,6031998,6186013,6477347,5515894,5252755,4371774,5201778,7005506,7041643,6548196,4948167,4861281,6158170,6099169,6061515,5657568,5033589,4421628,5225075,6790704,7253746,6699293,5191229,4702713,6003501,5706942,6049387,5562159,5166092,4682134,5343632,7146598,7341334,6913464,5840376,5241475,6393656,6312586
"Footwear & Luggage",1184735,856162,847837,920779,1197103,1020665,956727,864841,904713,1095064,1064524,956029,840506,913702,1118187,1133946,1187744,1091920,1042029,965756,1138362,1264537,1290418,1179194,1063999,1016415,1168141,1273468,1387780,1247466,1178820,1098491,1188562,1351517,1270445,1366802,1201533,1236025,1382504,1433617,1491747,1302659,1250225,1180304,1259470,1386101,1314604,1413721,1190861,1249045,1415003,1431815,1496425,1414943,1279732,1261331,1324606,1435337,1426667,1379502,1229579,1190496,1474069,1412622,1456562,1363775,1294670,1277250,1313267,1457296,1424373,1455950,1280727,1262947,1440762,1445993
"Sports & Entertainment goods",873792,879249,1026673,1228721,1463126,1291597,1290502,1168046,1252251,1418293,1300965,1238348,993265,1028409,1290622,1405958,1481625,1383943,1424944,1371637,1487820,1612072,1433246,1398024,1121060,1099372,1390757,1552315,1626872,1439771,1458413,1384597,1470593,1556508,1366444,1347368,1085345,1131967,1482675,1534070,1635250,1426385,1369028,1312007,1406964,1652951,1506114,1391452,1131589,1120677,1350286,1441814,1521279,1338408,1251379,1206575,1353811,1511530,1449300,1384540,1121807,1036193,1281666,1333856,1426125,1258062,1289851,1237354,1320565,1515755,1391145,1355967,1099908,1053130,1282553,1374968
"The others(Semi-durable goods)",1812388,1643917,1679413,1712430,1893775,1899300,1915766,1886508,1965798,1875605,1937356,2044082,1803216,1669154,1922523,1940265,2001935,1929958,1935392,1841429,1885844,2089044,2105693,2159932,1879671,1786563,2164033,2021388,2077914,2041283,2126956,2094965,2088250,2094932,2156806,2278349,1854846,1819019,2097368,2068120,2122461,2058064,2068959,2026352,2016278,2153179,2157587,2186972,1942191,1887610,2095597,2069589,2142575,2109252,2090031,1974072,1956707,2110791,2109187,2161272,1743339,1786387,1999574,2019570,1983711,1976588,2070628,1940156,2001759,2037705,2013564,2095291,1921808,1758310,2113507,2060689
"Non-durable goods",27411109,23448797,23841080,23121532,24305567,23616943,23945862,24944961,28011323,23790761,23800981,25759522,25511417,24921922,25244572,25330693,26280595,25645077,26795029,27111977,30121293,27076329,26987265,28723949,29956304,24923396,28607168,27919410,29245817,28607779,29420480,30388781,30862424,29045213,28687027,29273329,31156468,26341190,29054536,28219451,29421929,28363927,28426928,29782070,32769820,29338356,29503605,30466120,30305667,28910207,29661161,28864313,30278463,28809659,29232019,30713941,31438351,29203503,29246451,30975143,32371974,27386732,30480368,29546877,30363482,29345577,30367002,30416944,32033187,30960407,30474999,31770012,31053987,30529589,31677835,30779937
"food",14415201,12091922,12371461,12285680,13108407,12332769,12498586,13385506,16512552,12395007,12464317,14118191,13954387,14004697,12826631,13094898,13620588,13012903,13733472,14066877,16634200,13471050,12944467,14681724,16809574,11890055,13505262,13430316,14019111,13332739,13957336,15097260,15751603,13642720,13619323,14028353,16565686,12480241,13910422,13726402,14636115,14340435,14588669,15163032,17766442,14193632,14324193,14928348,15382431,15256860,14564229,14195773,15073216,14389171,14593035,15809405,17036009,14675201,14642233,15183388,17603660,13181558,14960898,14508227,15280475,14736300,15282876,15526656,16923705,16103443,14924983,15444339,15635150,16296691,14865170,14750716
"Pharmaceuticals",1900460,1916493,1931149,1933753,1988200,1981753,1897321,1849852,1903088,1873490,1887827,1917418,1844628,1743117,1891074,1925549,2025360,2074401,2077043,2036902,2122839,2162822,2205374,2271674,2199377,2548916,2740826,2449916,2309870,2260871,2350806,2489903,2434737,2433960,2523299,2605454,2448465,2285066,2407835,2419024,2472816,2420161,2424668,2464066,2416332,2493715,2542845,2569590,2602177,2477770,2497093,2533664,2579537,2502724,2609537,2722307,2612445,2665151,2669557,2762521,2729124,2618052,2683983,2778244,2812475,2703099,2804399,2770333,2914772,2893445,2932295,3011962,2967428,2823506,2953012,3081335
"Cosmetics",3611355,2480524,2488403,2563110,2637330,2640261,2673467,2726030,2897388,2740591,2773406,2545037,2825953,2507942,2860538,2995253,3022869,2800783,2738635,2824172,3324385,2906502,3187455,2996447,2887285,2868487,3326979,2969540,3316445,3184070,2942469,3023376,3456503,3408909,3019127,3070075,2740289,2799049,3156529,2869343,3045588,2905673,2588789,2774255,3142167,3000202,2886002,3154015,3234677,2597535,2922593,2860549,2964128,2843352,2733254,2747720,2879865,2669975,2732980,3156319,2667593,2603790,2953419,2836033,2805247,2804569,2587566,2665924,2887008,2676176,2835154,3014058,2860534,2678777,3183805,2995655
"Books & Stationery",762244,713639,770459,662538,667768,661194,644478,685701,690465,621142,617630,816239,749747,683990,881329,627314,615041,611116,702976,641954,670347,612568,639330,862659,798158,699905,873661,672476,635798,619956,680954,674022,682842,621908,643279,867037,803957,823487,967651,763920,739965,706377,786375,772614,767399,733099,788226,961336,798718,816550,979587,738639,738087,688109,758427,738308,714042,723609,747519,931092,758732,804837,968180,746785,693442,645678,785214,762569,756142,678809,743011,948564,781880,754377,990967,750894
"Automotive fuel",4174108,3834844,3812558,3337512,3326169,3443190,3671101,3751077,3515583,3661173,3607570,3730319,3635666,3625146,4125976,4155001,4399288,4493588,4820272,4870576,4577579,5148965,5261770,5024927,4488809,4337208,5174064,5494629,5955442,6146736,6484578,6003228,5491013,5837242,5832518,5593155,4869387,4553492,4912048,4814668,4882602,4560957,4594814,5145904,5212459,5369726,5321666,5064097,4623426,4335672,4969234,4887864,5053727,4845450,4938834,5201712,4733808,4775214,4820611,5080593,4804516,4566184,4986384,4821182,4876847,4745988,5075695,5048428,4889748,4846170,5230576,5341257,4979742,4412535,5551100,5397882
"The others(Non-durable goods)",2547740,2411375,2467049,2338940,2577693,2557778,2560910,2546794,2492248,2499358,2450230,2632317,2501036,2357030,2659023,2532678,2597450,2652287,2722631,2671497,2791943,2774422,2748870,2886517,2773101,2578826,2986376,2902534,3009151,3063408,3004336,3100991,3045727,3100474,3049480,3109254,3728684,3399855,3700051,3626094,3644843,3430324,3443613,3462199,3465021,3547982,3640673,3788734,3664238,3425820,3728425,3647824,3869768,3540853,3598932,3494489,3462182,3694353,3633551,3861230,3808349,3612311,3927504,3856406,3894996,3709943,3831252,3643034,3661812,3762364,3808980,4009832,3829253,3563703,4133781,3803455
